team_name,free_throw_percentage,three_pointers,rebounds,assists,steals,blocks,points,score
Ball Don't Lie,.0000,5,4,2,0,0,35,1-6-0
Team DollaDolla Beal,.0000,5,4,2,0,0,35,6-1-0
Jesus Shuttlesworth,.0000,5,4,2,0,0,35,4-3-0
Team Weiss,.0000,5,4,2,0,0,35,3-4-0
Shake N' Blake,.0000,5,4,2,0,0,35,5-1-1
Boogiee  On Em,.0000,5,4,2,0,0,35,1-5-1
Durant Jemima,.0000,5,4,2,0,0,35,5-2-0
Kawhi So Serious?,.0000,5,4,2,0,0,35,2-5-0
Trust the Process,.0000,5,4,2,0,0,35,4-2-1
Team Leeds,.0000,5,4,2,0,0,35,2-4-1
