player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Robin Lopez,Chi,C,DTD,"",17.0,0.0,0.0,.000,0.0,3.0,1.0,0.0,1.0,4.0
Courtney Lee,NY,SG,DTD,"",23.3,0.8,0.8,1.000,0.5,1.5,1.5,0.5,0.3,5.8
Dillon Brooks,Mem,SF,"",AUST,23.0,0.5,1.5,.333,0.8,1.0,1.5,0.8,0.0,7.8
Allen Crabbe,Bkn,SG,"","",28.7,0.7,1.0,.667,2.7,4.0,1.7,0.3,1.7,10.7
Mike Conley*,Mem,PG,O,"",--,--,--,--,--,--,--,--,--,--
Gorgui Dieng,Min,C,"","",16.3,0.5,0.5,1.000,0.5,5.0,0.8,0.3,1.3,6.5
Yogi Ferrell,Dal,SG,"","",25.7,1.3,1.7,.800,1.7,3.0,2.3,1.3,0.3,17.0
Wayne Ellington,Mia,SG,"","",26.3,0.7,0.7,1.000,3.3,3.0,1.3,1.3,0.0,12.7
Frank Kaminsky,Cha,C,"","",23.3,2.0,2.0,1.000,1.5,3.8,3.3,0.5,0.0,11.0
Marquese Chriss,Pho,PF,"","",25.3,2.5,4.0,.625,1.0,5.8,1.8,0.5,1.3,13.0
Wesley Matthews*,Dal,SG,O,BOYD,--,--,--,--,--,--,--,--,--,--
Ryan Anderson,Hou,PF,"","",21.0,1.0,1.7,.600,1.7,4.0,0.7,0.3,0.7,8.7
Marcus Smart*,Bos,PG,O,"",--,--,--,--,--,--,--,--,--,--
Andrew Harrison,Mem,PG,DTD,SANF,29.0,1.7,2.0,.833,0.7,2.0,4.7,0.7,0.3,11.0
Cameron Payne,Chi,PG,"","",27.3,1.3,1.7,.800,2.0,3.0,5.0,1.3,0.3,12.7
Maurice Harkless,Por,SF,DTD,"",30.3,1.7,2.7,.625,2.0,3.7,2.0,0.0,2.0,13.7
Nerlens Noel,Dal,C,DTD,"",23.5,0.0,0.0,.000,0.0,9.0,2.0,3.0,1.5,8.0
Kyle O'Quinn,NY,PF,DTD,"",15.0,0.5,0.5,1.000,0.0,2.0,2.0,0.0,0.0,5.5
Fred VanVleet,Tor,PG,"","",27.7,0.0,0.7,.000,4.0,2.3,2.7,1.3,0.3,16.0
Gordon Hayward*,Bos,SG,O,"",--,--,--,--,--,--,--,--,--,--
Marvin Williams,Cha,SF,"","",26.0,1.5,1.8,.857,0.8,5.3,1.0,1.0,0.8,9.3
Tristan Thompson,Cle,PF,"","",15.5,0.0,0.0,.000,0.0,10.0,0.5,0.0,0.0,4.0
Lance Stephenson,Ind,SG,"","",17.3,0.0,0.0,.000,0.7,2.3,1.7,1.0,0.3,8.7
Ed Davis,Por,PF,"","",19.0,1.0,1.3,.750,0.0,5.7,0.3,0.0,0.3,3.0
Cristiano Felicio,Chi,PF,DTD,"",26.7,2.3,2.7,.875,0.0,8.3,2.0,0.3,0.0,12.3
Milos Teodosic,LAC,SG,"","",28.5,1.8,2.0,.875,2.3,2.5,2.5,0.3,0.0,12.5
Gerald Green,Hou,SF,"",SANF,24.3,0.3,0.3,1.000,2.5,3.5,1.5,1.0,0.3,11.3
Nick Young,GS,SG,"",JLEE,32.0,1.0,1.0,1.000,3.5,2.5,1.0,0.5,0.0,16.5
Danny Green,SA,SG,"","",27.0,0.7,0.7,1.000,1.7,4.7,0.7,0.0,2.0,8.3
Mario Hezonja,Orl,SF,"","",27.3,2.3,3.3,.700,0.7,5.0,2.0,1.7,1.0,10.3
Andre Iguodala,GS,SF,"","",24.0,0.0,0.0,.000,2.5,2.0,4.0,1.0,0.0,8.5
Marco Belinelli,Phi,SG,"","",25.5,2.0,2.5,.800,2.0,1.5,1.8,0.3,0.8,14.5
Ersan Ilyasova,Phi,PF,"","",22.3,0.5,1.3,.400,1.0,5.3,0.8,0.8,0.8,11.0
Skal Labissiere,Sac,PF,"","",30.0,1.0,1.0,1.000,1.5,7.5,3.0,0.0,1.5,11.5
