player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Andre Dawkins,Bos,SG,"","",--,--,--,--,--,--,--,--,--,--
Jack Cooley,Sac,SF,"","",5.0,1.0,1.0,1.000,0.0,2.0,1.0,0.0,0.0,5.0
Sonny Weems,Phi,SG,"","",--,--,--,--,--,--,--,--,--,--
Daniel Ochefu,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Quincy Pondexter,Chi,SF,"","",8.5,0.6,0.7,.824,0.1,1.2,0.4,0.3,0.1,2.0
Nikola Milutinov,SA,C,"","",--,--,--,--,--,--,--,--,--,--
Xavier Munford,Mil,SG,"","",3.5,0.2,0.3,.500,0.0,0.2,0.7,0.2,0.0,0.5
Sheldon Mac,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Rasual Butler,Min,SG,"","",--,--,--,--,--,--,--,--,--,--
Sergey Karasev,Bkn,SG,"","",--,--,--,--,--,--,--,--,--,--
Eric Griffin,Utah,SF,"","",--,--,--,--,--,--,--,--,--,--
Dahntay Jones,Cle,SG,"","",--,--,--,--,--,--,--,--,--,--
Kevin Martin,SA,SG,"","",--,--,--,--,--,--,--,--,--,--
Kadeem Allen,Bos,SG,"","",2.9,0.3,0.4,.750,0.0,0.4,0.2,0.1,0.0,0.5
Lamar Patterson,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Ognjen Jaramaz,NY,PG,"","",--,--,--,--,--,--,--,--,--,--
Russ Smith,Mem,PG,"","",--,--,--,--,--,--,--,--,--,--
Jordan McRae,Cle,PF,"","",--,--,--,--,--,--,--,--,--,--
Semaj Christon,OKC,PG,"","",--,--,--,--,--,--,--,--,--,--
Nick Johnson,Orl,SG,"","",--,--,--,--,--,--,--,--,--,--
Jarnell Stokes,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Marcelo Huertas,Hou,PG,"","",--,--,--,--,--,--,--,--,--,--
Dimitrios Agravanis,Sac,PF,"","",--,--,--,--,--,--,--,--,--,--
Diamond Stone,Chi,C,"","",--,--,--,--,--,--,--,--,--,--
Sasha Kaun,Cle,C,"","",--,--,--,--,--,--,--,--,--,--
Cleanthony Early,NY,SF,"","",--,--,--,--,--,--,--,--,--,--
Nikola Pekovic,Min,C,"","",--,--,--,--,--,--,--,--,--,--
Kostas Papanikolaou,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Patric Young,Nor,C,"","",--,--,--,--,--,--,--,--,--,--
Isaiah Cousins,Sac,SG,"","",--,--,--,--,--,--,--,--,--,--
Alpha Kaba,Atl,PF,"","",--,--,--,--,--,--,--,--,--,--
Chase Budinger,Bkn,SF,"","",--,--,--,--,--,--,--,--,--,--
Aleksandar Vezenkov,Bkn,PF,"","",--,--,--,--,--,--,--,--,--,--
Jeff Ayres,LAC,PF,"","",--,--,--,--,--,--,--,--,--,--
Eric Atkins,Utah,PG,"","",--,--,--,--,--,--,--,--,--,--
Bryce Cotton,Mem,SG,"","",--,--,--,--,--,--,--,--,--,--
Damjan Rudez,Orl,SF,"","",--,--,--,--,--,--,--,--,--,--
Tim Quarterman,Hou,SG,"","",--,--,--,--,--,--,--,--,--,--
Christian Wood,Cha,PF,"","",--,--,--,--,--,--,--,--,--,--
Danuel House Jr.,Pho,SG,"","",12.1,1.0,1.2,.842,0.5,2.3,0.5,0.3,0.1,4.6
Arturas Gudaitis,Cle,C,"","",--,--,--,--,--,--,--,--,--,--
Chris Copeland,Nor,SF,"","",--,--,--,--,--,--,--,--,--,--
Daniel Diez,Por,SG,"","",--,--,--,--,--,--,--,--,--,--
Petr Cornelie,Den,PF,"","",--,--,--,--,--,--,--,--,--,--
Nicolas Brussino,Atl,SG,"","",2.5,0.0,0.0,.000,0.0,0.8,0.0,0.0,0.0,0.0
David Michineau,LAC,SG,"","",--,--,--,--,--,--,--,--,--,--
Ray McCallum,Det,PG,"","",--,--,--,--,--,--,--,--,--,--
Caron Butler,Sac,SF,"","",--,--,--,--,--,--,--,--,--,--
Phil Pressey,GS,PG,"","",--,--,--,--,--,--,--,--,--,--
Alec Brown,FA,C,"","",--,--,--,--,--,--,--,--,--,--
Cory Jefferson,Cle,PF,"","",--,--,--,--,--,--,--,--,--,--
CJ Wilcox,Por,SG,"","",--,--,--,--,--,--,--,--,--,--
Cameron Bairstow,Det,PF,"","",--,--,--,--,--,--,--,--,--,--
Adreian Payne,Orl,PF,"","",8.6,1.0,1.2,.833,0.4,1.8,0.0,0.4,0.0,4.2
Brandon Bass,LAC,PF,"","",--,--,--,--,--,--,--,--,--,--
Bobby Brown,Hou,PG,"","",5.8,0.1,0.1,.500,0.6,0.4,0.6,0.2,0.0,2.5
KJ McDaniels,Tor,SF,"","",--,--,--,--,--,--,--,--,--,--
Jared Sullinger,Pho,PF,"","",--,--,--,--,--,--,--,--,--,--
